alias,preferred_term,alias_type,country_scope,source,confidence
predictive analytics,data_science_ai,alias,all,open_taxonomy_supported,4
statistical modeling,data_science_ai,alias,all,open_taxonomy_supported,4
applied AI,data_science_ai,alias,all,open_taxonomy_supported,4
data stewardship,data_governance,alias,all,open_taxonomy_supported,4
data quality governance,data_governance,alias,all,open_taxonomy_supported,4
metadata management,data_governance,alias,all,open_taxonomy_supported,4
data controls,data_governance,alias,all,open_taxonomy_supported,4
data management governance,data_governance,alias,all,open_taxonomy_supported,4
infosec,cybersecurity,alias,all,open_taxonomy_supported,4
information security,cybersecurity,alias,all,open_taxonomy_supported,4
security operations,cybersecurity,alias,all,open_taxonomy_supported,4
cyber security,cybersecurity,alias,all,open_taxonomy_supported,4
SOC,cybersecurity,alias,all,open_taxonomy_supported,4
cyber risk,cybersecurity,alias,all,open_taxonomy_supported,4
project management,project_program_management,alias,all,open_taxonomy_supported,4
program management,project_program_management,alias,all,open_taxonomy_supported,4
delivery management,project_program_management,alias,all,open_taxonomy_supported,4
PMO,project_program_management,alias,all,open_taxonomy_supported,4
project controls,project_program_management,alias,all,open_taxonomy_supported,4
product ownership,product_management,alias,all,open_taxonomy_supported,4
product strategy,product_management,alias,all,open_taxonomy_supported,4
product planning,product_management,alias,all,open_taxonomy_supported,4
PM,product_management,alias,all,open_taxonomy_supported,4
product lead,product_management,alias,all,open_taxonomy_supported,4
requirements analysis,business_analysis,alias,all,open_taxonomy_supported,4
systems analysis,business_analysis,alias,all,open_taxonomy_supported,4
process analysis,business_analysis,alias,all,open_taxonomy_supported,4
BA,business_analysis,alias,all,open_taxonomy_supported,4
functional analysis,business_analysis,alias,all,open_taxonomy_supported,4
enterprise risk,risk_management,alias,all,open_taxonomy_supported,4
operational risk,risk_management,alias,all,open_taxonomy_supported,4
risk controls,risk_management,alias,all,open_taxonomy_supported,4
risk assessment,risk_management,alias,all,open_taxonomy_supported,4
risk governance,risk_management,alias,all,open_taxonomy_supported,4
regulatory compliance,compliance_regulatory,alias,all,open_taxonomy_supported,4
compliance monitoring,compliance_regulatory,alias,all,open_taxonomy_supported,4
policy compliance,compliance_regulatory,alias,all,open_taxonomy_supported,4
compliance testing,compliance_regulatory,alias,all,open_taxonomy_supported,4
regulatory affairs,compliance_regulatory,alias,all,open_taxonomy_supported,4
internal audit,audit_assurance,alias,all,open_taxonomy_supported,4
control assurance,audit_assurance,alias,all,open_taxonomy_supported,4
audit testing,audit_assurance,alias,all,open_taxonomy_supported,4
assurance review,audit_assurance,alias,all,open_taxonomy_supported,4
process audit,audit_assurance,alias,all,open_taxonomy_supported,4
HRBP,people_advisory,alias,all,open_taxonomy_supported,4
HR business partner,people_advisory,alias,all,open_taxonomy_supported,4
people partner,people_advisory,alias,all,open_taxonomy_supported,4
HR advisory,people_advisory,alias,all,open_taxonomy_supported,4
people advisory,people_advisory,alias,all,open_taxonomy_supported,4
L&D,learning_development,alias,all,open_taxonomy_supported,4
training,learning_development,alias,all,open_taxonomy_supported,4
employee learning,learning_development,alias,all,open_taxonomy_supported,4
skills enablement,learning_development,alias,all,open_taxonomy_supported,4
talent development,learning_development,alias,all,open_taxonomy_supported,4
sales,sales_business_development,alias,all,open_taxonomy_supported,4
BD,sales_business_development,alias,all,open_taxonomy_supported,4
business development,sales_business_development,alias,all,open_taxonomy_supported,4
account executive,sales_business_development,alias,all,open_taxonomy_supported,4
partnership sales,sales_business_development,alias,all,open_taxonomy_supported,4
client acquisition,sales_business_development,alias,all,open_taxonomy_supported,4
growth marketing,marketing_growth,alias,all,open_taxonomy_supported,4
demand generation,marketing_growth,alias,all,open_taxonomy_supported,4
digital marketing,marketing_growth,alias,all,open_taxonomy_supported,4
brand marketing,marketing_growth,alias,all,open_taxonomy_supported,4
performance marketing,marketing_growth,alias,all,open_taxonomy_supported,4
customer success,customer_success_support,alias,all,open_taxonomy_supported,4
client success,customer_success_support,alias,all,open_taxonomy_supported,4
customer support,customer_success_support,alias,all,open_taxonomy_supported,4
technical support,customer_success_support,alias,all,open_taxonomy_supported,4
account support,customer_success_support,alias,all,open_taxonomy_supported,4
procurement,supply_chain_procurement,alias,all,open_taxonomy_supported,4
purchasing,supply_chain_procurement,alias,all,open_taxonomy_supported,4
vendor sourcing,supply_chain_procurement,alias,all,open_taxonomy_supported,4
supply chain,supply_chain_procurement,alias,all,open_taxonomy_supported,4
logistics planning,supply_chain_procurement,alias,all,open_taxonomy_supported,4
building construction,construction,alias,all,official_verified,5
civil construction,construction,alias,all,official_verified,5
infrastructure construction,construction,alias,all,official_verified,5
general contracting,construction,alias,all,official_verified,5
EPC construction,construction,alias,all,official_verified,5
banking,financial_services,alias,all,official_verified,5
insurance,financial_services,alias,all,official_verified,5
capital markets,financial_services,alias,all,official_verified,5
payments,financial_services,alias,all,official_verified,5
fintech,financial_services,alias,all,official_verified,5
financial institutions,financial_services,alias,all,official_verified,5
tech,technology_software,alias,all,open_taxonomy_supported,4
software,technology_software,alias,all,open_taxonomy_supported,4
SaaS,technology_software,alias,all,open_taxonomy_supported,4
cloud services,technology_software,alias,all,open_taxonomy_supported,4
digital platforms,technology_software,alias,all,open_taxonomy_supported,4
IT services,technology_software,alias,all,open_taxonomy_supported,4
healthcare,healthcare_social_assistance,alias,all,open_taxonomy_supported,4
health services,healthcare_social_assistance,alias,all,open_taxonomy_supported,4
clinical care,healthcare_social_assistance,alias,all,open_taxonomy_supported,4
social care,healthcare_social_assistance,alias,all,open_taxonomy_supported,4
community care,healthcare_social_assistance,alias,all,open_taxonomy_supported,4
industrial manufacturing,manufacturing,alias,all,official_verified,5
factory operations,manufacturing,alias,all,official_verified,5
production,manufacturing,alias,all,official_verified,5
plant operations,manufacturing,alias,all,official_verified,5
consulting,professional_services,alias,all,open_taxonomy_supported,4
legal services,professional_services,alias,all,open_taxonomy_supported,4
accounting services,professional_services,alias,all,open_taxonomy_supported,4
engineering services,professional_services,alias,all,open_taxonomy_supported,4
professional services,professional_services,alias,all,open_taxonomy_supported,4
retail,retail_trade,alias,all,official_verified,5
stores,retail_trade,alias,all,official_verified,5
ecommerce retail,retail_trade,alias,all,official_verified,5
consumer retail,retail_trade,alias,all,official_verified,5
consultant,contractor,alias,all,country_sensitive,3
contract employee,contractor,alias,all,country_sensitive,3
1099 worker,contractor,alias,all,country_sensitive,3
vendor resource,contractor,alias,all,country_sensitive,3
third-party resource,contractor,alias,all,country_sensitive,3
cloud operations,cloud_platform_operations,alias,all,open_taxonomy_supported,4
DevOps,cloud_platform_operations,alias,all,open_taxonomy_supported,4
platform engineering,cloud_platform_operations,alias,all,open_taxonomy_supported,4
SRE,cloud_platform_operations,alias,all,open_taxonomy_supported,4
infrastructure operations,cloud_platform_operations,alias,all,open_taxonomy_supported,4
ER,employee_relations,alias,all,open_taxonomy_supported,4
employee issues,employee_relations,alias,all,open_taxonomy_supported,4
workplace investigations,employee_relations,alias,all,open_taxonomy_supported,4
labour relations,employee_relations,alias,all,open_taxonomy_supported,4
HR case management,employee_relations,alias,all,open_taxonomy_supported,4
total rewards,compensation_benefits,alias,all,open_taxonomy_supported,4
compensation,compensation_benefits,alias,all,open_taxonomy_supported,4
benefits,compensation_benefits,alias,all,open_taxonomy_supported,4
pay programs,compensation_benefits,alias,all,open_taxonomy_supported,4
rewards,compensation_benefits,alias,all,open_taxonomy_supported,4
headcount planning,workforce_planning,alias,all,open_taxonomy_supported,4
workforce analytics,workforce_planning,alias,all,open_taxonomy_supported,4
capacity planning,workforce_planning,alias,all,open_taxonomy_supported,4
talent planning,workforce_planning,alias,all,open_taxonomy_supported,4
strategic workforce planning,workforce_planning,alias,all,open_taxonomy_supported,4
org design,organizational_design,alias,all,open_taxonomy_supported,4
organization design,organizational_design,alias,all,open_taxonomy_supported,4
role design,organizational_design,alias,all,open_taxonomy_supported,4
operating model,organizational_design,alias,all,open_taxonomy_supported,4
span and layer,organizational_design,alias,all,open_taxonomy_supported,4
organizational change,change_management,alias,all,open_taxonomy_supported,4
change enablement,change_management,alias,all,open_taxonomy_supported,4
adoption management,change_management,alias,all,open_taxonomy_supported,4
change readiness,change_management,alias,all,open_taxonomy_supported,4
accounting,finance_accounting,alias,all,open_taxonomy_supported,4
corporate finance,finance_accounting,alias,all,open_taxonomy_supported,4
FP&A,finance_accounting,alias,all,open_taxonomy_supported,4
financial reporting,finance_accounting,alias,all,open_taxonomy_supported,4
budgeting,finance_accounting,alias,all,open_taxonomy_supported,4
vendor management,vendor_partner_management,alias,all,open_taxonomy_supported,4
partner management,vendor_partner_management,alias,all,open_taxonomy_supported,4
supplier relationship management,vendor_partner_management,alias,all,open_taxonomy_supported,4
third-party management,vendor_partner_management,alias,all,open_taxonomy_supported,4
privacy,privacy_data_protection,alias,all,open_taxonomy_supported,4
data protection,privacy_data_protection,alias,all,open_taxonomy_supported,4
PII protection,privacy_data_protection,alias,all,open_taxonomy_supported,4
privacy compliance,privacy_data_protection,alias,all,open_taxonomy_supported,4
privacy operations,privacy_data_protection,alias,all,open_taxonomy_supported,4
UX,design_user_experience,alias,all,open_taxonomy_supported,4
UI design,design_user_experience,alias,all,open_taxonomy_supported,4
product design,design_user_experience,alias,all,open_taxonomy_supported,4
service design,design_user_experience,alias,all,open_taxonomy_supported,4
user experience,design_user_experience,alias,all,open_taxonomy_supported,4
knowledge management,content_knowledge_management,alias,all,open_taxonomy_supported,4
documentation,content_knowledge_management,alias,all,open_taxonomy_supported,4
technical writing,content_knowledge_management,alias,all,open_taxonomy_supported,4
content operations,content_knowledge_management,alias,all,open_taxonomy_supported,4
KM,content_knowledge_management,alias,all,open_taxonomy_supported,4
education,education_training,alias,all,official_verified,5
training services,education_training,alias,all,official_verified,5
learning provider,education_training,alias,all,official_verified,5
schooling,education_training,alias,all,official_verified,5
government,public_administration_government,alias,all,official_verified,5
public sector,public_administration_government,alias,all,official_verified,5
public administration,public_administration_government,alias,all,official_verified,5
government services,public_administration_government,alias,all,official_verified,5
logistics,transportation_logistics,alias,all,official_verified,5
freight,transportation_logistics,alias,all,official_verified,5
transportation,transportation_logistics,alias,all,official_verified,5
warehousing,transportation_logistics,alias,all,official_verified,5
supply logistics,transportation_logistics,alias,all,official_verified,5
Aeronautics Commission Director,source_onet_chief_executives,alias,all,open_taxonomy_supported,4
Agency Owner,source_onet_chief_executives,alias,all,open_taxonomy_supported,4
Agricultural Services Director,source_onet_chief_executives,alias,all,open_taxonomy_supported,4
Arts and Humanities Council Director,source_onet_chief_executives,alias,all,open_taxonomy_supported,4
Bank President,source_onet_chief_executives,alias,all,open_taxonomy_supported,4
Bureau Chief,source_onet_chief_executives,alias,all,open_taxonomy_supported,4
Business Development Executive (BD Executive),source_onet_chief_executives,alias,all,open_taxonomy_supported,4
Business Development Officer (BD Officer),source_onet_chief_executives,alias,all,open_taxonomy_supported,4
Business Enterprise Officer,source_onet_chief_executives,alias,all,open_taxonomy_supported,4
Business Executive,source_onet_chief_executives,alias,all,open_taxonomy_supported,4
CEO (Chief Executive Officer),source_onet_chief_executives,alias,all,open_taxonomy_supported,4
Chief Administrative Officer (CAO),source_onet_chief_executives,alias,all,open_taxonomy_supported,4
Chief Diversity Officer (CDO),source_onet_chief_executives,alias,all,open_taxonomy_supported,4
Chief Financial Officer (CFO),source_onet_chief_executives,alias,all,open_taxonomy_supported,4
Chief Information Officer (CIO),source_onet_chief_executives,alias,all,open_taxonomy_supported,4
Chief Information Security Officer (CISO),source_onet_chief_executives,alias,all,open_taxonomy_supported,4
Chief Innovation Officer (CINO),source_onet_chief_executives,alias,all,open_taxonomy_supported,4
Chief Nursing Officer (CNO),source_onet_chief_executives,alias,all,open_taxonomy_supported,4
Chief Operating Officer (COO),source_onet_chief_executives,alias,all,open_taxonomy_supported,4
Chief Technical Officer (CTO),source_onet_chief_executives,alias,all,open_taxonomy_supported,4
Chief Technology Officer (CTO),source_onet_chief_executives,alias,all,open_taxonomy_supported,4
Chief Warden,source_onet_chief_executives,alias,all,open_taxonomy_supported,4
Commissioner,source_onet_chief_executives,alias,all,open_taxonomy_supported,4
Consumer Affairs Director,source_onet_chief_executives,alias,all,open_taxonomy_supported,4
Corporate Executive,source_onet_chief_executives,alias,all,open_taxonomy_supported,4
Correctional Agency Director,source_onet_chief_executives,alias,all,open_taxonomy_supported,4
County Commissioner,source_onet_chief_executives,alias,all,open_taxonomy_supported,4
County Executive Director,source_onet_chief_executives,alias,all,open_taxonomy_supported,4
Deputy District Customs Director,source_onet_chief_executives,alias,all,open_taxonomy_supported,4
Deputy Insurance Commissioner,source_onet_chief_executives,alias,all,open_taxonomy_supported,4
District Customs Director,source_onet_chief_executives,alias,all,open_taxonomy_supported,4
Employment Research and Planning Director,source_onet_chief_executives,alias,all,open_taxonomy_supported,4
Employment Services Director,source_onet_chief_executives,alias,all,open_taxonomy_supported,4
Executive Director,source_onet_chief_executives,alias,all,open_taxonomy_supported,4
Executive Officer,source_onet_chief_executives,alias,all,open_taxonomy_supported,4
Executive Vice President (EVP),source_onet_chief_executives,alias,all,open_taxonomy_supported,4
Finance Vice President (Finance VP),source_onet_chief_executives,alias,all,open_taxonomy_supported,4
Financial Institution President,source_onet_chief_executives,alias,all,open_taxonomy_supported,4
Financial Responsibility Division Director,source_onet_chief_executives,alias,all,open_taxonomy_supported,4
Foundation Director,source_onet_chief_executives,alias,all,open_taxonomy_supported,4
Government Service Executive,source_onet_chief_executives,alias,all,open_taxonomy_supported,4
Health Commissioner,source_onet_chief_executives,alias,all,open_taxonomy_supported,4
Highway Commissioner,source_onet_chief_executives,alias,all,open_taxonomy_supported,4
Hospital CFO (Hospital Chief Financial Officer),source_onet_chief_executives,alias,all,open_taxonomy_supported,4
Institution Director,source_onet_chief_executives,alias,all,open_taxonomy_supported,4
Insurance Commissioner,source_onet_chief_executives,alias,all,open_taxonomy_supported,4
Internal Revenue Commissioner,source_onet_chief_executives,alias,all,open_taxonomy_supported,4
Labor Commissioner,source_onet_chief_executives,alias,all,open_taxonomy_supported,4
Labor Standards Director,source_onet_chief_executives,alias,all,open_taxonomy_supported,4
Law Enforcement Director,source_onet_chief_executives,alias,all,open_taxonomy_supported,4
Chief Environmental Commitment Officer (CECO),source_onet_chief_sustainability_officers,alias,all,open_taxonomy_supported,4
Chief Green Officer (CGO),source_onet_chief_sustainability_officers,alias,all,open_taxonomy_supported,4
Chief Sustainability Officer (CSO),source_onet_chief_sustainability_officers,alias,all,open_taxonomy_supported,4
Climate Change and Sustainability Manager,source_onet_chief_sustainability_officers,alias,all,open_taxonomy_supported,4
Corporate Sustainability Manager,source_onet_chief_sustainability_officers,alias,all,open_taxonomy_supported,4
Corporate Sustainability Process Manager,source_onet_chief_sustainability_officers,alias,all,open_taxonomy_supported,4
CSR and Sustainability VP (Corporate Social Responsibility and Sustainability Vice President),source_onet_chief_sustainability_officers,alias,all,open_taxonomy_supported,4
Energy and Sustainability Manager,source_onet_chief_sustainability_officers,alias,all,open_taxonomy_supported,4
Energy Sustainability Manager,source_onet_chief_sustainability_officers,alias,all,open_taxonomy_supported,4
"Energy, Sustainability, and Infrastructure Manager",source_onet_chief_sustainability_officers,alias,all,open_taxonomy_supported,4
Environmental and Sustainability Manager,source_onet_chief_sustainability_officers,alias,all,open_taxonomy_supported,4
Environmental Sustainability Manager,source_onet_chief_sustainability_officers,alias,all,open_taxonomy_supported,4
"ESG Manager (Environmental, Social, and Corporate Governance Manager)",source_onet_chief_sustainability_officers,alias,all,open_taxonomy_supported,4
Global Sustainability Manager,source_onet_chief_sustainability_officers,alias,all,open_taxonomy_supported,4
Sustainability Chancellor,source_onet_chief_sustainability_officers,alias,all,open_taxonomy_supported,4
Sustainability Chief,source_onet_chief_sustainability_officers,alias,all,open_taxonomy_supported,4
Sustainability Director,source_onet_chief_sustainability_officers,alias,all,open_taxonomy_supported,4
Sustainability Energy Manager,source_onet_chief_sustainability_officers,alias,all,open_taxonomy_supported,4
Sustainability Initiatives Vice President (Sustainability Initiatives VP),source_onet_chief_sustainability_officers,alias,all,open_taxonomy_supported,4
Sustainability Manager,source_onet_chief_sustainability_officers,alias,all,open_taxonomy_supported,4
Sustainability Programs Director,source_onet_chief_sustainability_officers,alias,all,open_taxonomy_supported,4
Sustainability Reports Director,source_onet_chief_sustainability_officers,alias,all,open_taxonomy_supported,4
Sustainability Research and Advocacy Director,source_onet_chief_sustainability_officers,alias,all,open_taxonomy_supported,4
Sustainability Strategy Manager,source_onet_chief_sustainability_officers,alias,all,open_taxonomy_supported,4
Sustainable Design Director,source_onet_chief_sustainability_officers,alias,all,open_taxonomy_supported,4
Area Manager,source_onet_general_and_operations_managers,alias,all,open_taxonomy_supported,4
Boards and Commissions Director,source_onet_general_and_operations_managers,alias,all,open_taxonomy_supported,4
Business Coordinator,source_onet_general_and_operations_managers,alias,all,open_taxonomy_supported,4
Business Manager,source_onet_general_and_operations_managers,alias,all,open_taxonomy_supported,4
Center Manager,source_onet_general_and_operations_managers,alias,all,open_taxonomy_supported,4
Chief Administrative Officer (CAO),source_onet_general_and_operations_managers,alias,all,open_taxonomy_supported,4
Corporate Manager,source_onet_general_and_operations_managers,alias,all,open_taxonomy_supported,4
Department Manager,source_onet_general_and_operations_managers,alias,all,open_taxonomy_supported,4
Department Store General Manager (Dept Store GM),source_onet_general_and_operations_managers,alias,all,open_taxonomy_supported,4
Department Store Manager (Dept Store Manager),source_onet_general_and_operations_managers,alias,all,open_taxonomy_supported,4
District Commercial Superintendent,source_onet_general_and_operations_managers,alias,all,open_taxonomy_supported,4
District Manager,source_onet_general_and_operations_managers,alias,all,open_taxonomy_supported,4
District Plant Superintendent,source_onet_general_and_operations_managers,alias,all,open_taxonomy_supported,4
District Traffic Chief,source_onet_general_and_operations_managers,alias,all,open_taxonomy_supported,4
District Wire Chief,source_onet_general_and_operations_managers,alias,all,open_taxonomy_supported,4
Division Toll Wire Chief,source_onet_general_and_operations_managers,alias,all,open_taxonomy_supported,4
Division Traffic Superintendent,source_onet_general_and_operations_managers,alias,all,open_taxonomy_supported,4
Drilling and Production Superintendent,source_onet_general_and_operations_managers,alias,all,open_taxonomy_supported,4
Electrical Superintendent,source_onet_general_and_operations_managers,alias,all,open_taxonomy_supported,4
Equipment Maintenance Superintendent,source_onet_general_and_operations_managers,alias,all,open_taxonomy_supported,4
Field Party Manager,source_onet_general_and_operations_managers,alias,all,open_taxonomy_supported,4
Fish and Game Club Manager,source_onet_general_and_operations_managers,alias,all,open_taxonomy_supported,4
General Manager (GM),source_onet_general_and_operations_managers,alias,all,open_taxonomy_supported,4
General Superintendent,source_onet_general_and_operations_managers,alias,all,open_taxonomy_supported,4
Golf and Operations Manager,source_onet_general_and_operations_managers,alias,all,open_taxonomy_supported,4
Golf Course Manager,source_onet_general_and_operations_managers,alias,all,open_taxonomy_supported,4
Gym Manager,source_onet_general_and_operations_managers,alias,all,open_taxonomy_supported,4
Installation Superintendent,source_onet_general_and_operations_managers,alias,all,open_taxonomy_supported,4
IO Manager (Industrial Organization Manager),source_onet_general_and_operations_managers,alias,all,open_taxonomy_supported,4
Laundry Superintendent,source_onet_general_and_operations_managers,alias,all,open_taxonomy_supported,4
Line Construction Superintendent,source_onet_general_and_operations_managers,alias,all,open_taxonomy_supported,4
Manufacturing Operations Manager,source_onet_general_and_operations_managers,alias,all,open_taxonomy_supported,4
Mine Superintendent,source_onet_general_and_operations_managers,alias,all,open_taxonomy_supported,4
Movie Theater Manager,source_onet_general_and_operations_managers,alias,all,open_taxonomy_supported,4
Newspaper Manager,source_onet_general_and_operations_managers,alias,all,open_taxonomy_supported,4
Nonprofit Manager,source_onet_general_and_operations_managers,alias,all,open_taxonomy_supported,4
Office Manager,source_onet_general_and_operations_managers,alias,all,open_taxonomy_supported,4
Offshoring Manager,source_onet_general_and_operations_managers,alias,all,open_taxonomy_supported,4
Operational Risk Manager,source_onet_general_and_operations_managers,alias,all,open_taxonomy_supported,4
Operations Director,source_onet_general_and_operations_managers,alias,all,open_taxonomy_supported,4
Operations General Manager (Operations GM),source_onet_general_and_operations_managers,alias,all,open_taxonomy_supported,4
Operations Manager,source_onet_general_and_operations_managers,alias,all,open_taxonomy_supported,4
Operations Supervisor,source_onet_general_and_operations_managers,alias,all,open_taxonomy_supported,4
Park Superintendent,source_onet_general_and_operations_managers,alias,all,open_taxonomy_supported,4
Parks and Recreation Manager,source_onet_general_and_operations_managers,alias,all,open_taxonomy_supported,4
Plant Superintendent,source_onet_general_and_operations_managers,alias,all,open_taxonomy_supported,4
Print Production Manager,source_onet_general_and_operations_managers,alias,all,open_taxonomy_supported,4
Printing Manager,source_onet_general_and_operations_managers,alias,all,open_taxonomy_supported,4
Prison Warden,source_onet_general_and_operations_managers,alias,all,open_taxonomy_supported,4
Program Director,source_onet_general_and_operations_managers,alias,all,open_taxonomy_supported,4
Alderman,source_onet_legislators,alias,all,open_taxonomy_supported,4
Assembly Member,source_onet_legislators,alias,all,open_taxonomy_supported,4
Assembly Person,source_onet_legislators,alias,all,open_taxonomy_supported,4
Assemblyman,source_onet_legislators,alias,all,open_taxonomy_supported,4
Assemblywoman,source_onet_legislators,alias,all,open_taxonomy_supported,4
City Alderman,source_onet_legislators,alias,all,open_taxonomy_supported,4
City Council Member,source_onet_legislators,alias,all,open_taxonomy_supported,4
City Councilman,source_onet_legislators,alias,all,open_taxonomy_supported,4
Congress Member,source_onet_legislators,alias,all,open_taxonomy_supported,4
Congressional Representative,source_onet_legislators,alias,all,open_taxonomy_supported,4
Congressman,source_onet_legislators,alias,all,open_taxonomy_supported,4
Congresswoman,source_onet_legislators,alias,all,open_taxonomy_supported,4
Council Member,source_onet_legislators,alias,all,open_taxonomy_supported,4
Councilman,source_onet_legislators,alias,all,open_taxonomy_supported,4
Councilor,source_onet_legislators,alias,all,open_taxonomy_supported,4
Councilperson,source_onet_legislators,alias,all,open_taxonomy_supported,4
Councilwoman,source_onet_legislators,alias,all,open_taxonomy_supported,4
Delegate,source_onet_legislators,alias,all,open_taxonomy_supported,4
Legislator,source_onet_legislators,alias,all,open_taxonomy_supported,4
Representative,source_onet_legislators,alias,all,open_taxonomy_supported,4
Selectman,source_onet_legislators,alias,all,open_taxonomy_supported,4
Senator,source_onet_legislators,alias,all,open_taxonomy_supported,4
Tribal Council Member,source_onet_legislators,alias,all,open_taxonomy_supported,4
Tribal Delegate,source_onet_legislators,alias,all,open_taxonomy_supported,4
U.S. Representative (United States Representative),source_onet_legislators,alias,all,open_taxonomy_supported,4
U.S. Senator (United States Senator),source_onet_legislators,alias,all,open_taxonomy_supported,4
Account Director,source_onet_advertising_and_promotions_managers,alias,all,open_taxonomy_supported,4
Account Executive,source_onet_advertising_and_promotions_managers,alias,all,open_taxonomy_supported,4
Account Manager,source_onet_advertising_and_promotions_managers,alias,all,open_taxonomy_supported,4
Account Specialist,source_onet_advertising_and_promotions_managers,alias,all,open_taxonomy_supported,4
Advertising Account Executive (Ad Account Executive),source_onet_advertising_and_promotions_managers,alias,all,open_taxonomy_supported,4
Advertising Account Manager (Ad Account Manager),source_onet_advertising_and_promotions_managers,alias,all,open_taxonomy_supported,4
Advertising Agency Manager (Ad Agency Manager),source_onet_advertising_and_promotions_managers,alias,all,open_taxonomy_supported,4
Advertising Campaign Manager (Ad Campaign Manager),source_onet_advertising_and_promotions_managers,alias,all,open_taxonomy_supported,4
Advertising Coordinator (Ad Coordinator),source_onet_advertising_and_promotions_managers,alias,all,open_taxonomy_supported,4
Advertising Director (Ad Director),source_onet_advertising_and_promotions_managers,alias,all,open_taxonomy_supported,4
Advertising Executive (Ad Executive),source_onet_advertising_and_promotions_managers,alias,all,open_taxonomy_supported,4
Advertising Manager (Ad Manager),source_onet_advertising_and_promotions_managers,alias,all,open_taxonomy_supported,4
Advertising Operations Manager (Ad Operations Manager),source_onet_advertising_and_promotions_managers,alias,all,open_taxonomy_supported,4
Advertising Production Manager,source_onet_advertising_and_promotions_managers,alias,all,open_taxonomy_supported,4
Advertising Sales Manager (Ad Sales Manager),source_onet_advertising_and_promotions_managers,alias,all,open_taxonomy_supported,4
Advertising VP (Advertising Vice President),source_onet_advertising_and_promotions_managers,alias,all,open_taxonomy_supported,4
Brand Manager,source_onet_advertising_and_promotions_managers,alias,all,open_taxonomy_supported,4
Campaign Director,source_onet_advertising_and_promotions_managers,alias,all,open_taxonomy_supported,4
Campaign Manager,source_onet_advertising_and_promotions_managers,alias,all,open_taxonomy_supported,4
Campaign Program Manager,source_onet_advertising_and_promotions_managers,alias,all,open_taxonomy_supported,4
Circulation Manager,source_onet_advertising_and_promotions_managers,alias,all,open_taxonomy_supported,4
Classified Advertising Manager (Classified Ad Manager),source_onet_advertising_and_promotions_managers,alias,all,open_taxonomy_supported,4
