role_title,mapped_term,mapped_dimension,role_family,country_scope,source,confidence
QA lead,quality_assurance,capability,operations_and_delivery,Canada/India/USA,open_taxonomy_supported,4
manual tester,quality_assurance,capability,operations_and_delivery,Canada/India/USA,open_taxonomy_supported,4
automation tester,quality_assurance,capability,operations_and_delivery,Canada/India/USA,open_taxonomy_supported,4
quality engineer,quality_assurance,capability,operations_and_delivery,Canada/India/USA,open_taxonomy_supported,4
software engineer,software_engineering,capability,technology_delivery,Canada/India/USA,open_taxonomy_supported,4
developer,software_engineering,capability,technology_delivery,Canada/India/USA,open_taxonomy_supported,4
frontend developer,software_engineering,capability,technology_delivery,Canada/India/USA,open_taxonomy_supported,4
backend developer,software_engineering,capability,technology_delivery,Canada/India/USA,open_taxonomy_supported,4
full-stack developer,software_engineering,capability,technology_delivery,Canada/India/USA,open_taxonomy_supported,4
application developer,software_engineering,capability,technology_delivery,Canada/India/USA,open_taxonomy_supported,4
mobile developer,software_engineering,capability,technology_delivery,Canada/India/USA,open_taxonomy_supported,4
solution architect,technical_architecture,capability,technology_delivery,Canada/India/USA,open_taxonomy_supported,4
software architect,technical_architecture,capability,technology_delivery,Canada/India/USA,open_taxonomy_supported,4
technical architect,technical_architecture,capability,technology_delivery,Canada/India/USA,open_taxonomy_supported,4
enterprise architect,technical_architecture,capability,technology_delivery,Canada/India/USA,open_taxonomy_supported,4
platform architect,technical_architecture,capability,technology_delivery,Canada/India/USA,open_taxonomy_supported,4
data analyst,data_analysis,capability,data_and_ai,Canada/India/USA,open_taxonomy_supported,4
business analyst,data_analysis,capability,data_and_ai,Canada/India/USA,open_taxonomy_supported,4
BI analyst,data_analysis,capability,data_and_ai,Canada/India/USA,open_taxonomy_supported,4
reporting analyst,data_analysis,capability,data_and_ai,Canada/India/USA,open_taxonomy_supported,4
analytics consultant,data_analysis,capability,data_and_ai,Canada/India/USA,open_taxonomy_supported,4
operations analyst,data_analysis,capability,data_and_ai,Canada/India/USA,open_taxonomy_supported,4
data engineer,data_engineering,capability,data_and_ai,Canada/India/USA,open_taxonomy_supported,4
analytics engineer,data_engineering,capability,data_and_ai,Canada/India/USA,open_taxonomy_supported,4
ETL developer,data_engineering,capability,data_and_ai,Canada/India/USA,open_taxonomy_supported,4
warehouse engineer,data_engineering,capability,data_and_ai,Canada/India/USA,open_taxonomy_supported,4
data platform engineer,data_engineering,capability,data_and_ai,Canada/India/USA,open_taxonomy_supported,4
data scientist,data_science_ai,capability,data_and_ai,Canada/India/USA,open_taxonomy_supported,4
machine learning engineer,data_science_ai,capability,data_and_ai,Canada/India/USA,open_taxonomy_supported,4
AI engineer,data_science_ai,capability,data_and_ai,Canada/India/USA,open_taxonomy_supported,4
ML scientist,data_science_ai,capability,data_and_ai,Canada/India/USA,open_taxonomy_supported,4
applied scientist,data_science_ai,capability,data_and_ai,Canada/India/USA,open_taxonomy_supported,4
NLP engineer,data_science_ai,capability,data_and_ai,Canada/India/USA,open_taxonomy_supported,4
data governance analyst,data_governance,capability,data_and_ai,Canada/India/USA,open_taxonomy_supported,4
data steward,data_governance,capability,data_and_ai,Canada/India/USA,open_taxonomy_supported,4
data governance lead,data_governance,capability,data_and_ai,Canada/India/USA,open_taxonomy_supported,4
metadata analyst,data_governance,capability,data_and_ai,Canada/India/USA,open_taxonomy_supported,4
data quality analyst,data_governance,capability,data_and_ai,Canada/India/USA,open_taxonomy_supported,4
cybersecurity analyst,cybersecurity,capability,technology_operations,Canada/India/USA,open_taxonomy_supported,4
SOC analyst,cybersecurity,capability,technology_operations,Canada/India/USA,open_taxonomy_supported,4
security engineer,cybersecurity,capability,technology_operations,Canada/India/USA,open_taxonomy_supported,4
incident response analyst,cybersecurity,capability,technology_operations,Canada/India/USA,open_taxonomy_supported,4
security operations analyst,cybersecurity,capability,technology_operations,Canada/India/USA,open_taxonomy_supported,4
project manager,project_program_management,capability,operations_and_delivery,Canada/India/USA,open_taxonomy_supported,4
program manager,project_program_management,capability,operations_and_delivery,Canada/India/USA,open_taxonomy_supported,4
delivery manager,project_program_management,capability,operations_and_delivery,Canada/India/USA,open_taxonomy_supported,4
PMO analyst,project_program_management,capability,operations_and_delivery,Canada/India/USA,open_taxonomy_supported,4
project coordinator,project_program_management,capability,operations_and_delivery,Canada/India/USA,open_taxonomy_supported,4
scrum master,project_program_management,capability,operations_and_delivery,Canada/India/USA,open_taxonomy_supported,4
product manager,product_management,capability,product_and_design,Canada/India/USA,open_taxonomy_supported,4
product owner,product_management,capability,product_and_design,Canada/India/USA,open_taxonomy_supported,4
associate product manager,product_management,capability,product_and_design,Canada/India/USA,open_taxonomy_supported,4
senior product manager,product_management,capability,product_and_design,Canada/India/USA,open_taxonomy_supported,4
product lead,product_management,capability,product_and_design,Canada/India/USA,open_taxonomy_supported,4
business analyst,business_analysis,capability,business_operations,Canada/India/USA,open_taxonomy_supported,4
systems analyst,business_analysis,capability,business_operations,Canada/India/USA,open_taxonomy_supported,4
functional analyst,business_analysis,capability,business_operations,Canada/India/USA,open_taxonomy_supported,4
process analyst,business_analysis,capability,business_operations,Canada/India/USA,open_taxonomy_supported,4
requirements analyst,business_analysis,capability,business_operations,Canada/India/USA,open_taxonomy_supported,4
risk analyst,risk_management,capability,risk_compliance_legal,Canada/India/USA,open_taxonomy_supported,4
risk manager,risk_management,capability,risk_compliance_legal,Canada/India/USA,open_taxonomy_supported,4
operational risk analyst,risk_management,capability,risk_compliance_legal,Canada/India/USA,open_taxonomy_supported,4
enterprise risk manager,risk_management,capability,risk_compliance_legal,Canada/India/USA,open_taxonomy_supported,4
controls analyst,risk_management,capability,risk_compliance_legal,Canada/India/USA,open_taxonomy_supported,4
compliance analyst,compliance_regulatory,capability,risk_compliance_legal,Canada/India/USA,open_taxonomy_supported,4
regulatory analyst,compliance_regulatory,capability,risk_compliance_legal,Canada/India/USA,open_taxonomy_supported,4
compliance officer,compliance_regulatory,capability,risk_compliance_legal,Canada/India/USA,open_taxonomy_supported,4
controls tester,compliance_regulatory,capability,risk_compliance_legal,Canada/India/USA,open_taxonomy_supported,4
regulatory affairs specialist,compliance_regulatory,capability,risk_compliance_legal,Canada/India/USA,open_taxonomy_supported,4
internal auditor,audit_assurance,capability,risk_compliance_legal,Canada/India/USA,open_taxonomy_supported,4
IT auditor,audit_assurance,capability,risk_compliance_legal,Canada/India/USA,open_taxonomy_supported,4
audit analyst,audit_assurance,capability,risk_compliance_legal,Canada/India/USA,open_taxonomy_supported,4
controls assurance analyst,audit_assurance,capability,risk_compliance_legal,Canada/India/USA,open_taxonomy_supported,4
quality auditor,audit_assurance,capability,risk_compliance_legal,Canada/India/USA,open_taxonomy_supported,4
HR business partner,people_advisory,capability,human_resources,Canada/India/USA,open_taxonomy_supported,4
people partner,people_advisory,capability,human_resources,Canada/India/USA,open_taxonomy_supported,4
HR advisor,people_advisory,capability,human_resources,Canada/India/USA,open_taxonomy_supported,4
people consultant,people_advisory,capability,human_resources,Canada/India/USA,open_taxonomy_supported,4
HR manager,people_advisory,capability,human_resources,Canada/India/USA,open_taxonomy_supported,4
learning specialist,learning_development,capability,human_resources,Canada/India/USA,open_taxonomy_supported,4
L&D manager,learning_development,capability,human_resources,Canada/India/USA,open_taxonomy_supported,4
training coordinator,learning_development,capability,human_resources,Canada/India/USA,open_taxonomy_supported,4
instructional designer,learning_development,capability,human_resources,Canada/India/USA,open_taxonomy_supported,4
talent development specialist,learning_development,capability,human_resources,Canada/India/USA,open_taxonomy_supported,4
sales representative,sales_business_development,capability,commercial,Canada/India/USA,open_taxonomy_supported,4
account executive,sales_business_development,capability,commercial,Canada/India/USA,open_taxonomy_supported,4
business development representative,sales_business_development,capability,commercial,Canada/India/USA,open_taxonomy_supported,4
sales manager,sales_business_development,capability,commercial,Canada/India/USA,open_taxonomy_supported,4
partnerships manager,sales_business_development,capability,commercial,Canada/India/USA,open_taxonomy_supported,4
marketing specialist,marketing_growth,capability,commercial,Canada/India/USA,open_taxonomy_supported,4
growth marketer,marketing_growth,capability,commercial,Canada/India/USA,open_taxonomy_supported,4
demand generation manager,marketing_growth,capability,commercial,Canada/India/USA,open_taxonomy_supported,4
content marketer,marketing_growth,capability,commercial,Canada/India/USA,open_taxonomy_supported,4
digital marketing manager,marketing_growth,capability,commercial,Canada/India/USA,open_taxonomy_supported,4
customer success manager,customer_success_support,capability,commercial,Canada/India/USA,open_taxonomy_supported,4
support specialist,customer_success_support,capability,commercial,Canada/India/USA,open_taxonomy_supported,4
technical support analyst,customer_success_support,capability,commercial,Canada/India/USA,open_taxonomy_supported,4
client success manager,customer_success_support,capability,commercial,Canada/India/USA,open_taxonomy_supported,4
implementation specialist,customer_success_support,capability,commercial,Canada/India/USA,open_taxonomy_supported,4
procurement specialist,supply_chain_procurement,capability,operations_and_delivery,Canada/India/USA,open_taxonomy_supported,4
buyer,supply_chain_procurement,capability,operations_and_delivery,Canada/India/USA,open_taxonomy_supported,4
supply chain analyst,supply_chain_procurement,capability,operations_and_delivery,Canada/India/USA,open_taxonomy_supported,4
logistics coordinator,supply_chain_procurement,capability,operations_and_delivery,Canada/India/USA,open_taxonomy_supported,4
vendor manager,supply_chain_procurement,capability,operations_and_delivery,Canada/India/USA,open_taxonomy_supported,4
site coordinator,construction,industry,physical_infrastructure_economy,Canada/India/USA,official_verified,5
project coordinator,construction,industry,physical_infrastructure_economy,Canada/India/USA,official_verified,5
construction supervisor,construction,industry,physical_infrastructure_economy,Canada/India/USA,official_verified,5
project manager,construction,industry,physical_infrastructure_economy,Canada/India/USA,official_verified,5
estimator,construction,industry,physical_infrastructure_economy,Canada/India/USA,official_verified,5
site engineer,construction,industry,physical_infrastructure_economy,Canada/India/USA,official_verified,5
safety officer,construction,industry,physical_infrastructure_economy,Canada/India/USA,official_verified,5
banking recruiter,financial_services,industry,services_economy,Canada/India/USA,official_verified,5
risk analyst,financial_services,industry,services_economy,Canada/India/USA,official_verified,5
compliance analyst,financial_services,industry,services_economy,Canada/India/USA,official_verified,5
financial services QA,financial_services,industry,services_economy,Canada/India/USA,official_verified,5
fraud analyst,financial_services,industry,services_economy,Canada/India/USA,official_verified,5
relationship manager,financial_services,industry,services_economy,Canada/India/USA,official_verified,5
software engineer,technology_software,industry,digital_information_economy,Canada/India/USA,open_taxonomy_supported,4
product manager,technology_software,industry,digital_information_economy,Canada/India/USA,open_taxonomy_supported,4
data engineer,technology_software,industry,digital_information_economy,Canada/India/USA,open_taxonomy_supported,4
QA engineer,technology_software,industry,digital_information_economy,Canada/India/USA,open_taxonomy_supported,4
cloud engineer,technology_software,industry,digital_information_economy,Canada/India/USA,open_taxonomy_supported,4
security engineer,technology_software,industry,digital_information_economy,Canada/India/USA,open_taxonomy_supported,4
nurse,healthcare_social_assistance,industry,human_services_economy,Canada/India/USA,open_taxonomy_supported,4
physician,healthcare_social_assistance,industry,human_services_economy,Canada/India/USA,open_taxonomy_supported,4
clinical coordinator,healthcare_social_assistance,industry,human_services_economy,Canada/India/USA,open_taxonomy_supported,4
healthcare recruiter,healthcare_social_assistance,industry,human_services_economy,Canada/India/USA,open_taxonomy_supported,4
case manager,healthcare_social_assistance,industry,human_services_economy,Canada/India/USA,open_taxonomy_supported,4
medical assistant,healthcare_social_assistance,industry,human_services_economy,Canada/India/USA,open_taxonomy_supported,4
production supervisor,manufacturing,industry,industrial_economy,Canada/India/USA,official_verified,5
manufacturing engineer,manufacturing,industry,industrial_economy,Canada/India/USA,official_verified,5
quality inspector,manufacturing,industry,industrial_economy,Canada/India/USA,official_verified,5
maintenance technician,manufacturing,industry,industrial_economy,Canada/India/USA,official_verified,5
plant manager,manufacturing,industry,industrial_economy,Canada/India/USA,official_verified,5
consultant,professional_services,industry,services_economy,Canada/India/USA,open_taxonomy_supported,4
accountant,professional_services,industry,services_economy,Canada/India/USA,open_taxonomy_supported,4
lawyer,professional_services,industry,services_economy,Canada/India/USA,open_taxonomy_supported,4
engineer,professional_services,industry,services_economy,Canada/India/USA,open_taxonomy_supported,4
research analyst,professional_services,industry,services_economy,Canada/India/USA,open_taxonomy_supported,4
project consultant,professional_services,industry,services_economy,Canada/India/USA,open_taxonomy_supported,4
store manager,retail_trade,industry,consumer_economy,Canada/India/USA,official_verified,5
retail associate,retail_trade,industry,consumer_economy,Canada/India/USA,official_verified,5
merchandiser,retail_trade,industry,consumer_economy,Canada/India/USA,official_verified,5
ecommerce manager,retail_trade,industry,consumer_economy,Canada/India/USA,official_verified,5
retail recruiter,retail_trade,industry,consumer_economy,Canada/India/USA,official_verified,5
not a role by itself,contractor,employment_model,employment_model,Canada/India/USA,country_sensitive,3
cloud engineer,cloud_platform_operations,capability,technology_operations,Canada/India/USA,open_taxonomy_supported,4
DevOps engineer,cloud_platform_operations,capability,technology_operations,Canada/India/USA,open_taxonomy_supported,4
platform engineer,cloud_platform_operations,capability,technology_operations,Canada/India/USA,open_taxonomy_supported,4
SRE,cloud_platform_operations,capability,technology_operations,Canada/India/USA,open_taxonomy_supported,4
infrastructure engineer,cloud_platform_operations,capability,technology_operations,Canada/India/USA,open_taxonomy_supported,4
employee relations specialist,employee_relations,capability,human_resources,Canada/India/USA,open_taxonomy_supported,4
HR advisor,employee_relations,capability,human_resources,Canada/India/USA,open_taxonomy_supported,4
labour relations specialist,employee_relations,capability,human_resources,Canada/India/USA,open_taxonomy_supported,4
ER manager,employee_relations,capability,human_resources,Canada/India/USA,open_taxonomy_supported,4
compensation analyst,compensation_benefits,capability,human_resources,Canada/India/USA,open_taxonomy_supported,4
benefits specialist,compensation_benefits,capability,human_resources,Canada/India/USA,open_taxonomy_supported,4
total rewards manager,compensation_benefits,capability,human_resources,Canada/India/USA,open_taxonomy_supported,4
rewards analyst,compensation_benefits,capability,human_resources,Canada/India/USA,open_taxonomy_supported,4
workforce planning analyst,workforce_planning,capability,human_resources,Canada/India/USA,open_taxonomy_supported,4
workforce manager,workforce_planning,capability,human_resources,Canada/India/USA,open_taxonomy_supported,4
capacity planner,workforce_planning,capability,human_resources,Canada/India/USA,open_taxonomy_supported,4
HR analytics analyst,workforce_planning,capability,human_resources,Canada/India/USA,open_taxonomy_supported,4
organizational design consultant,organizational_design,capability,human_resources,Canada/India/USA,open_taxonomy_supported,4
HR strategy manager,organizational_design,capability,human_resources,Canada/India/USA,open_taxonomy_supported,4
operating model consultant,organizational_design,capability,human_resources,Canada/India/USA,open_taxonomy_supported,4
people strategy lead,organizational_design,capability,human_resources,Canada/India/USA,open_taxonomy_supported,4
change manager,change_management,capability,business_operations,Canada/India/USA,open_taxonomy_supported,4
change analyst,change_management,capability,business_operations,Canada/India/USA,open_taxonomy_supported,4
change consultant,change_management,capability,business_operations,Canada/India/USA,open_taxonomy_supported,4
adoption lead,change_management,capability,business_operations,Canada/India/USA,open_taxonomy_supported,4
accountant,finance_accounting,capability,finance,Canada/India/USA,open_taxonomy_supported,4
financial analyst,finance_accounting,capability,finance,Canada/India/USA,open_taxonomy_supported,4
FP&A analyst,finance_accounting,capability,finance,Canada/India/USA,open_taxonomy_supported,4
controller,finance_accounting,capability,finance,Canada/India/USA,open_taxonomy_supported,4
finance manager,finance_accounting,capability,finance,Canada/India/USA,open_taxonomy_supported,4
bookkeeper,finance_accounting,capability,finance,Canada/India/USA,open_taxonomy_supported,4
vendor manager,vendor_partner_management,capability,business_operations,Canada/India/USA,open_taxonomy_supported,4
partner manager,vendor_partner_management,capability,business_operations,Canada/India/USA,open_taxonomy_supported,4
supplier relationship manager,vendor_partner_management,capability,business_operations,Canada/India/USA,open_taxonomy_supported,4
third-party risk analyst,vendor_partner_management,capability,business_operations,Canada/India/USA,open_taxonomy_supported,4
privacy analyst,privacy_data_protection,capability,risk_compliance_legal,Canada/India/USA,open_taxonomy_supported,4
privacy officer,privacy_data_protection,capability,risk_compliance_legal,Canada/India/USA,open_taxonomy_supported,4
data protection officer,privacy_data_protection,capability,risk_compliance_legal,Canada/India/USA,open_taxonomy_supported,4
privacy counsel,privacy_data_protection,capability,risk_compliance_legal,Canada/India/USA,open_taxonomy_supported,4
privacy operations specialist,privacy_data_protection,capability,risk_compliance_legal,Canada/India/USA,open_taxonomy_supported,4
UX designer,design_user_experience,capability,product_design,Canada/India/USA,open_taxonomy_supported,4
UI designer,design_user_experience,capability,product_design,Canada/India/USA,open_taxonomy_supported,4
product designer,design_user_experience,capability,product_design,Canada/India/USA,open_taxonomy_supported,4
service designer,design_user_experience,capability,product_design,Canada/India/USA,open_taxonomy_supported,4
UX researcher,design_user_experience,capability,product_design,Canada/India/USA,open_taxonomy_supported,4
knowledge manager,content_knowledge_management,capability,communications,Canada/India/USA,open_taxonomy_supported,4
technical writer,content_knowledge_management,capability,communications,Canada/India/USA,open_taxonomy_supported,4
documentation specialist,content_knowledge_management,capability,communications,Canada/India/USA,open_taxonomy_supported,4
content operations manager,content_knowledge_management,capability,communications,Canada/India/USA,open_taxonomy_supported,4
teacher,education_training,industry,human_capital_services,Canada/India/USA,official_verified,5
instructor,education_training,industry,human_capital_services,Canada/India/USA,official_verified,5
curriculum designer,education_training,industry,human_capital_services,Canada/India/USA,official_verified,5
academic advisor,education_training,industry,human_capital_services,Canada/India/USA,official_verified,5
training coordinator,education_training,industry,human_capital_services,Canada/India/USA,official_verified,5
policy analyst,public_administration_government,industry,public_services,Canada/India/USA,official_verified,5
program officer,public_administration_government,industry,public_services,Canada/India/USA,official_verified,5
public administrator,public_administration_government,industry,public_services,Canada/India/USA,official_verified,5
government recruiter,public_administration_government,industry,public_services,Canada/India/USA,official_verified,5
case officer,public_administration_government,industry,public_services,Canada/India/USA,official_verified,5
logistics coordinator,transportation_logistics,industry,logistics_economy,Canada/India/USA,official_verified,5
dispatcher,transportation_logistics,industry,logistics_economy,Canada/India/USA,official_verified,5
warehouse manager,transportation_logistics,industry,logistics_economy,Canada/India/USA,official_verified,5
transport planner,transportation_logistics,industry,logistics_economy,Canada/India/USA,official_verified,5
fleet manager,transportation_logistics,industry,logistics_economy,Canada/India/USA,official_verified,5
Chief Executives,source_onet_chief_executives,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Aeronautics Commission Director,source_onet_chief_executives,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Agency Owner,source_onet_chief_executives,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Agricultural Services Director,source_onet_chief_executives,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Arts and Humanities Council Director,source_onet_chief_executives,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Bank President,source_onet_chief_executives,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Bureau Chief,source_onet_chief_executives,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Business Development Executive (BD Executive),source_onet_chief_executives,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Business Development Officer (BD Officer),source_onet_chief_executives,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Business Enterprise Officer,source_onet_chief_executives,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Business Executive,source_onet_chief_executives,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
CEO (Chief Executive Officer),source_onet_chief_executives,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Chief Administrative Officer (CAO),source_onet_chief_executives,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Chief Diversity Officer (CDO),source_onet_chief_executives,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Chief Financial Officer (CFO),source_onet_chief_executives,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Chief Information Officer (CIO),source_onet_chief_executives,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Chief Information Security Officer (CISO),source_onet_chief_executives,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Chief Innovation Officer (CINO),source_onet_chief_executives,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Chief Nursing Officer (CNO),source_onet_chief_executives,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Chief Operating Officer (COO),source_onet_chief_executives,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Chief Technical Officer (CTO),source_onet_chief_executives,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Chief Technology Officer (CTO),source_onet_chief_executives,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Chief Warden,source_onet_chief_executives,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Commissioner,source_onet_chief_executives,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Consumer Affairs Director,source_onet_chief_executives,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Corporate Executive,source_onet_chief_executives,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Chief Sustainability Officers,source_onet_chief_sustainability_officers,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Chief Environmental Commitment Officer (CECO),source_onet_chief_sustainability_officers,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Chief Green Officer (CGO),source_onet_chief_sustainability_officers,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Chief Sustainability Officer (CSO),source_onet_chief_sustainability_officers,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Climate Change and Sustainability Manager,source_onet_chief_sustainability_officers,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Corporate Sustainability Manager,source_onet_chief_sustainability_officers,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Corporate Sustainability Process Manager,source_onet_chief_sustainability_officers,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
CSR and Sustainability VP (Corporate Social Responsibility and Sustainability Vice President),source_onet_chief_sustainability_officers,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Energy and Sustainability Manager,source_onet_chief_sustainability_officers,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Energy Sustainability Manager,source_onet_chief_sustainability_officers,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
"Energy, Sustainability, and Infrastructure Manager",source_onet_chief_sustainability_officers,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Environmental and Sustainability Manager,source_onet_chief_sustainability_officers,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Environmental Sustainability Manager,source_onet_chief_sustainability_officers,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
"ESG Manager (Environmental, Social, and Corporate Governance Manager)",source_onet_chief_sustainability_officers,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Global Sustainability Manager,source_onet_chief_sustainability_officers,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Sustainability Chancellor,source_onet_chief_sustainability_officers,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Sustainability Chief,source_onet_chief_sustainability_officers,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Sustainability Director,source_onet_chief_sustainability_officers,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Sustainability Energy Manager,source_onet_chief_sustainability_officers,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Sustainability Initiatives Vice President (Sustainability Initiatives VP),source_onet_chief_sustainability_officers,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Sustainability Manager,source_onet_chief_sustainability_officers,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Sustainability Programs Director,source_onet_chief_sustainability_officers,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Sustainability Reports Director,source_onet_chief_sustainability_officers,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Sustainability Research and Advocacy Director,source_onet_chief_sustainability_officers,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Sustainability Strategy Manager,source_onet_chief_sustainability_officers,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Sustainable Design Director,source_onet_chief_sustainability_officers,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
General and Operations Managers,source_onet_general_and_operations_managers,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Area Manager,source_onet_general_and_operations_managers,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Boards and Commissions Director,source_onet_general_and_operations_managers,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Business Coordinator,source_onet_general_and_operations_managers,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Business Manager,source_onet_general_and_operations_managers,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Center Manager,source_onet_general_and_operations_managers,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Chief Administrative Officer (CAO),source_onet_general_and_operations_managers,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Corporate Manager,source_onet_general_and_operations_managers,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Department Manager,source_onet_general_and_operations_managers,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Department Store General Manager (Dept Store GM),source_onet_general_and_operations_managers,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
Department Store Manager (Dept Store Manager),source_onet_general_and_operations_managers,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
District Commercial Superintendent,source_onet_general_and_operations_managers,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
District Manager,source_onet_general_and_operations_managers,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
District Plant Superintendent,source_onet_general_and_operations_managers,role_title,source_imported_role,Canada/India/USA,open_taxonomy_supported,4
